image_src,title,caption,photographer,tags,category,prize
000013.JPG,,"Octopus use the chromatophore cells in their skin to change the colour and texture of their bodies to blend in with the environment. They use this camouflaging method to hide from predators, or to hunt prey. The chromatophores are three colours, red, black and yellow which enable the octopus to change from a pale white to a deep red.",Samuel Rodgers-Foran,youth,Youth,
000014.jpg,,"Refraction and reflection of light on window when subjected to a camera flash from inside the room.This amazing photo was taken in Dunedin,New Zealand.",Mohammad Faran,amateur,Adult Amateur,
000015.JPG,,"Rainbow observed going onto the mountain after finishing of rain.This phenomenon is caused by reflection, refraction and dispersion of light in water droplets resulting in a spectrum of light This photo was taken in Queens town, New Zealand.",Mohammad Faran,amateur,Adult Amateur,
000016.JPG,,"A bright picture of all spectrum of color is observed under direct light without any interference form clouds.This picture was taken in Queens Town, New Zealand.",Mohammad Faran,amateur,Adult Amateur,
000017.jpg,,Diffraction of light making the center of the photo brighter than its surrounding.In this phenomenon light bends on corners of an object which in this case are the walls. This phenomenon was observed in Grand Jamia the 11th largest mosque in the world located in Pakistan.,Mohammad Faran Shahzad,amateur,Adult Amateur,
000018.JPG,,"Dispersion of light through clouds just before the beginning  of rain.This dispersion leads to shiny surface of the water and uneven brightness in the clouds.This photo was taken in Queens town,New Zealand.",Mohammad Faran Shahzad,amateur,Adult Amateur,
000019.JPG,,"Reflection of light from the tents of Nomads giving a bright white shine in return.This picture was taken in Kashmir, Pakistan.  ",Mohammad Faran Shahzad,amateur,Adult Amateur,
000020.JPG,,I zoomed in on the moon in the early hours of the day because it is not too bright or too dark so you can see all of the craters and the detail. The reason we can see all of the details is because the Sun's Rays are reflecting onto it and then onto earth so we can see them. Also you can zoom up really far on the camera which also helps to see more detail. If there was no light we would not be able to see the moon because it does not produce its own light seeing as it is a massive rock.,Cassandra Rodgers-Foran,youth,Youth,
000021.JPG,,"I took a picture of the sun because the sky is different coloured and looks really cool. This happens because small particles in the atmosphere change the direction of light rays, causing them to split up. This affects the colour of light coming from the sky which is why we see lots of different colours at sunrise and sunset. Every morning there is a wonderful sunrise, but we can not always see them from the ground because the clouds are so dense. I chose that morning because the colours were vivid and the clouds were only scattered around.",Cassandra Rodgers-Foran,youth,Youth,
000022.JPG,,The moon's light is just reflected light from the sun. When we see a full moon it is because there is more of the moon exposed to the sun. Sometimes the light is so bright it is almost like daytime.  This photo is early in the morning so the daylight is lighting up the pinecones as well as the moon.,Cassandra Rodgers-Foran,youth,Youth,
000023.JPG,,"Pieces that have fallen from the side of an iceberg trapped in sea ice in McMurdo Sound, Antarctica. The iceberg broke from the front of a glacier flowing down near Mt Erebus, and will stay in this spot until the sea ice melts and it can float away. Icebergs are becoming more and more common as glaciers flow faster around Antarctica in a warming climate.",Andrew Pauling,amateur,Adult Amateur,
000024.JPG,,"A rainbow formed from ice particles in the air, rather than water, in McMurdo Sound, Antarctica. The ice crystals act as prisms, splitting the light into its constituent colours. Sundogs can often encircle the Sun, and are usually seen when it is close to the horizon in cold climates.",Andrew Pauling,amateur,Adult Amateur,
000025.JPG,,"A wind turbine that powers Scott Base, McMurdo Sound, Antarctica, viewed through an ice formation in the pressure ridges near the base. These pressure ridges form where the sea ice comes in contact with land, and the pressure of the ice cracks and pushes it up into towers of ice up to 6 metres high. The wind turbines turn the often violent wind of Antarctica into electricity to power the base and allow us to conduct science in the most hostile environment on Earth.",Andrew Pauling,amateur,Adult Amateur,
000026.JPG,,The drips on the grass are called dew. Dew is formed after a warm day and a cool night. It happens because the moisture in the air gets colder at night and turns into drops of water or dew. If the night gets very cold then the dew gets transformed into frost.,Charlotte Rodgers-Foran,youth winner,Youth,"First Place, Kids"
000027.JPG,,The dew stays on the polyanthis because the inside of the flower is shaped like a cup and holds the dew there. The flower is made to trap the water in so that it can survive.,Charlotte Rodgers-Foran,youth,Youth,
000028.JPG,,"The windmills are up on the Mossburn hills because it needs the right amount of wind to create electricity, and up there there is the right amount. The wind turns the blades around a rotor and that is connected to the main shaft and that spins a generator to create electricity.<br /> ",Charlotte Rodgers-Foran,youth,Youth,
000029.JPG,,We can see the moon because it is night time. It's the sun on the other side of the world reflecting off the moon and that's how it glows. The clouds are turning grey because of how bright the moon is shining.,Benjamin Rodgers-Foran,youth,Youth,
000030.JPG,,The geckos sit on the rock to get warm. The schist rock keeps in the heat and keeps them warm because if they don't stay warm they will die because they don't create their own heat like people.,Benjamin Rodgers-Foran,youth winner,Youth,Best Habitat
000031.JPG,,The bellbird is getting sugar water from the feeder because they like nectar so that's why the Orokonui Eco-Sanctuary volunteers put the sugar into the water. In winter there are not enough flowers for them.,Benjamin Rodgers-Foran,youth,Youth,
000032.JPG,,"Altocumulus clouds in rippled linear waves. This photo was taken in Bannockburn and is the only time I have ever seen clouds like this. Altocumulus clouds are mid level clouds that usually form between 2000m-6000m above the ground. They usually form in groups, as shown in the photo, and are around 1km thick. They are often confused with cirrocumulus clouds but the difference is the size and colour of the clouds.",Kasey Short,youth,Youth,
000033.jpg,,"Why the snow look white<br /> <br /> Snow is a pile of individual ice crystals gathered together. When a light photon enters a layer of snow, it goes through an ice crystal on the top, which changes its direction slightly and sends it on to a new ice crystal, which does the same thing. Similarly, all the crystals bounce the light all around so that it comes right back out of the snow pile. It does the same thing to all the different light frequencies, so all colours of light are bounced back out. The combined ""colour"" of all the frequencies in the visible spectrum is white.",Juby Joseph,amateur,Adult Amateur,
000034.jpg,,Fog is tiny droplets of water suspended in air. It occurs when air reaches it dew point - this is the point when cooled air is unable to hold any more moisture so the moisture condenses forming the tiny droplets that become suspended in the air around us. It often forms in Central Otago because of  temperature inversion. The cold dense air settles into parts of the valley and is trapped by the warm air above. It is sometimes called Valley fog and can last for days in calm conditions. I,Emma Guglietta,amateur,Adult Amateur,
000035.jpg,,Snow crystals form when tiny cloud droplets freeze. Snow flakes (polycrystals) are formed by tens to hundreds of these snow crystals. The shape of a snow flake depends on the temperature and humidity they are formed and each snowflake is unique. Snowflakes melt when they land on water that is temperature is higher than freezing point.,Emma Guglietta,amateur,Adult Amateur,
000036.jpg,,"Snow on the ground cools the air immediately above causes the air above to reach its dew point. The cool air is saturated with moisture it is no longer able to hold any more moisture, so the moisture condenses and producing tiny water droplets that become suspended in the air. This is known as advection fog and is often the cause of fog over snow when its melting.",Emma Guglietta,amateur,Adult Amateur,
000037.JPG,,"A Galileo thermometer is , as the name suggests is a thermometer who's principle was figured out by the famous scientist Galileo Galilei. Part of it is the principle of buoyancy that states if an object is less dense than a liquid it floats and if it is more dense it sinks. The other part is the fact that the density changes due to temperature. So if a bubble's density changes to have say, less density it will float and vice versa",Ben Hawke,youth winner,Youth,"Second Place, Kids"
000038.jpg,,"To be honest this photograph contains four different parts. It has clouds, reflection, stars and The Aurora Australis(Aka southern lights). <br />  <br /> The first part, closest to the ground is the reflection of the stars and aurorae. Reflection is quite a simple concept. It's just the light isn't absorbed. That’s how mirrors work. Next, another layer from the ground is clouds. Clouds are basically water droplets or ice, depending on the cloud height itself. The ice or water gathers around dust particles in the air. Without them condensation wouldn't be possible. So, the way that your windows fog up on a cold morning is like a little cloud on your window. Next are stars, which are very simple. They're just gigantic balls of gas that perform the fusing of 4 hydrogen atoms into helium. And finally, Aurora Australis.  Which are just charged particles from the sun, letting off their energy.",Ben Hawke,youth,Youth,
000039.JPG,,"A telescope can either be refracting or reflecting. Reflecting telescopes use mirrors, and refracting telescopes use lenses. Reflective telescopes use mirrors to concentrate the light. And refracting telescopes use lenses to focus the light to make stars and planets look bigger that they are. I like this photo because it shows mans constant fascination with the sky over millennia.",Ben Hawke,youth,Youth,
000040.jpg,,"The stars and trees<br /> <br /> Scientists believe that the Milky Way contains up to 400 billion stars, and at least as many planets. Interestingly total number of trees on earth (considered over three trillion) is far more than stars on galaxy.",Juby Joseph,amateur,Adult Amateur,
000041.jpg,,"A tiny portion<br /> <br /> When a person sees the Milky Way at night, they are seeing only about 0.0000025% of the galaxy’s hundreds of billions of stars.",Juby Joseph,amateur,Adult Amateur,
000042.JPG,,"This photo was taken in Bannockburn with the Carrick Range in the background. In the photo it shows heavy rain clouds and also a partial rainbow. Rain clouds form when the water vapor in normal clouds becomes too heavy to hold, which then makes the droplets fall or precipitate. The photo also shows a storm front encroaching over the Carrick Range. Storm Fronts are usually followed by 'stratus cloud formations' which carry rain or snow (which you can see these behind the front). This is dependent on how high or low these clouds are. The low lying clouds bring rain because they are closer to the heat of the earth and high clouds bring snow because they are further away. The rainbow in the photo is caused by when light is bent or refracted inside a water droplet/rain and then reflected back out creating an arced shaped colour spectrum.",Kasey Short,youth,Youth,
000043.JPG,,"In the face of technological sophistication and computerization the ancient and time honoured simplicity of a weather vane is still used to identify wind direction and provides a pleasing addition to any vista. Taken at Orokonui, Otago.",Sharon Cook,amateur,Adult Amateur,
000044.JPG,,"As a southerly front approaches, signalling a dramatic and sudden change in the weather, the confluence of hot and cold air masses makes for a dramatic skyscape and a quick dash to the car. Taken at Warrington Beach, Otago.",Sharon Cook,amateur,Adult Amateur,
000045.JPG,,"Brushstrokes of high altitude cirrus clouds reflect the long and unscattered rays of sunlight predominant at sunset, resulting in a spectacular orange luminance. Perhaps one of the first written records linking the colour of evening sky to weather prediction appears in the Gospel of Matthew 16:2. Taken at Belleknowes, Dunedin.",Sharon Cook,amateur,Adult Amateur,
000046.jpg,,"Astronomy is arguably the oldest of the sciences and possibly the oldest use of astronomy is navigation by the stars. This craft - which we know is also practiced by animals - would have been used by the Maori when they travelled from Polynesia to New Zealand. With no instruments or tables to consult, their voyages would have been guided by their knowledge, not only of ocean currents and weather patterns, but also of the stars. An additional aid to navigation came in the shape of lighthouses. Originally nothing more than fires built on hilltops, the light emitted from the system of lights and lenses of lighthouses warn of unseen dangers and signal safe entry into harbours. Here, the Milky Way aligns with the lighthouse at Taiaroa Head, leading intrepid voyagers into the safety of Otago Harbour.   ",Noelle Bennett,amateur winner,Adult Amateur,Best Night Sky
000047.jpg,,"This almost perfect rainbow arc was captured over Lake Brunner. We see rainbows when the sun is behind us and rain is falling in front of us. Raindrops act like prisms when sunlight strikes them - effectively separating the light into its different wavelengths. When sunlight hits a raindrop the sunlight is refracted - or has its direction changed - by the drop of water. The light travels into the raindrop, but when it reaches the back it is reflected to the front of the drop. When it reaches the front once more, it is again refracted and emerges from the raindrop as the colour spectrum we see in a rainbow. If the beam of sunlight is reflected twice inside the raindrop, a secondary rainbow will appear when the light leaves the raindrop (just visible on the left side above Moana). The colours of a secondary rainbow are reversed.",Noelle Bennett,amateur,Adult Amateur,
000048.jpg,,"This image is about excitement and interaction of atoms! The small and large Magellanic Clouds have been known since the first millennium in western Asia and served as important navigation markers to the Polynesians. Looking like fragments of the Milky Way to the naked eye, they are actually dwarf spiral galaxies that orbit our own Milky Way. They are connected to each other and to our galaxy by streams of neutral hydrogen. Aside from the myriad of stars in this image, we also have an aurora. The dominant green colour results from incoming electrons colliding with oxygen atoms (22% of the atmosphere). This 'excites' the electrons in the oxygen atoms making them take quantum jumps. When they resettle, they emit light at a single frequency which we see as green. And this light remains perfectly arranged as it is reflected in the flat, smooth creek running along the beach.",Noelle Bennett,amateur,Adult Amateur,
000049.jpg,,"The moment that it takes for a camera to capture an image can be extended for a very long time. If left to expose for months, at a very low sensitivity, the sun will appear as a concentric series of luminescent lines, some broken by cloudy weather, each day tracing a slightly different arc as the year progresses. The result is a record of the sun’s movement in the sky and it’s interaction with landscape, weather and sea. This image helps to extend our perception of time beyond our normal range and show a different way of perceiving seasonal change.<br /> <br /> This image was made using a pinhole camera. It was exposed for four months, the paper scanned and a digital image created. This was inverted right to left, negative to positive, and the subtle colours in the original image were drawn out to the solagrapher’s satisfaction.",Donald Christopher Reid,amateur winner,Adult Amateur,"First Place, Amateurs"
000050.jpg,,"See here are the remnants of an arcus roll cloud, high above the Otago Peninsula. The geo-location of Dunedin, and New Zealand as a whole, prove to be ideal for rare clouds. Even morning glory clouds (also of the arcus variety) can be seen rolling through the area. The ever-changing winds, southerlies and northerlies, are the primary influence on this type of cloud formation. Cool air coming from the south (off the ocean), combined with warmer air from the north, help create the perfect environment for these rare cloud species.",Steve Gisselman,amateur,Adult Amateur,
000051.jpg,,"This demonstrates how waves form in an ocean. Wind blows across the surface pushing the water beneath it, this causes waves to form which grow over time. The ripple effect also produces waves. This is when an object is dropped into liquid and waves ripple out from the center, when these ripples cross interesting shapes are produced. These waves pictured are a culmination of wind and ripples.",Alex van der Weerden,youth winner,Youth,Best Portfolio
000052.jpg,,"The waves, formed from wind blowing the surface of the water, batter the fragile coast of the Peninsula. The rocks and dunes produce interesting shapes as they are forced back with the rising oceans. The dunes look as if they mirror the angles of the waves. These dunes will eventually slide in to the water because of the erosion produced by the sea.",Alex van der Weerden,youth winner,Youth,Best Portfolio
000053.jpg,,"The phenomenon of mist is caused by small droplets of water suspended in air. It usually occurs when warm, moist air meets sudden cooling. Here the mist has formed in a small valley in Milford Sound.<br /> ",Alex van der Weerden,youth winner,Youth,Best Portfolio
000054.jpg,,"Aurora occurs when the sun is active and blows out large amount of solar particles and hits Earth’s atmosphere. <br /> The auroras shines strong when that impact is fast, large and direct. <br /> Aurora Australis, which we have in the southern hemisphere mainly appears towards the south. <br />  has variety of to be surrounded with while observe the aurora. <br /> Like many places around Otago and Southland, Dunedin is one of the front row location with amazingly sceneries to observe auroras. <br /> In St. Clair beach you can encounter the cosmic light show while walking the beach. <br /> From the distant street light shined the historic groynes while the aurora shined the beach as it moved rapidly high in the sky.",Taichi Nakamura,pro,Adult Professional,
000055.jpg,,"Aurora Australis lit up the sky wide and high in yellow and red at the Otago Peninsula, while a strong red SAR (Stable auroral red) arc aligned with the Milky Way.<br /> Auroras is a cosmic phenomenon that Earth’s atmosphere reacts to sun’s solar particles that were blown from the sun when it is active. Aurora shines especially strong when the solar wind impacts Earth’s atmosphere fast, large and direct.<br /> SAR arc is a rare variation of the cosmic phenomenon that occurs only under special conditions and witnessed few times in the South Island during 2015. Those SAR arcs were like an aurora, strong, long and fat light but never with sharp features. They were very static with almost no movements unlike auroras.",Taichi Nakamura,pro winner,Adult Professional,"Second Place, Professionals"
000056.jpg,,"Aurora appeared as the sky became darker at the entrance of Dunedin city, with waves of light beaming bright and high in the sky.<br /> Aurora shines strong when the sun is active and blows out large amount of solar particles and hits Earth’s atmosphere and that impact is fast, large and direct. <br /> Aurora is light and gets influenced also by other light around it. <br /> In the photo, while it was at the early stage of twilight, the sunlight was still touching the top of the aurora beams through the curvature of our planet. The top layer gets washed away and changes colour into purple and pink from blue and red.<br /> Although Aurora Australis is rare to be observed simply due to the limited land available in the southern ocean, Otago and Southland is located nicely at the front row of the auroral activity.",Taichi Nakamura,pro,Adult Professional,
000057.jpg,,"“The Aurora hunters”<br /> On a night when the Aurora Australis did not make a promised appearance, I captured a subtle airglow on the Southern horizon. Airglow is a photochemical reaction. Atoms, molecules and ions in the earth’s upper atmosphere become excited by ultra-violet radiation from the sun. They release chemical energy that is converted into light by a process of chemoluminescence when they return to their normal state. The resulting airglow, although not easily seen by the naked eye, is often visible in long exposure astro photography. Taken on a Canon 7D, with a Samyang 14mm f2.8, ISO 1600, 25 sec.",Lee Adam,amateur,Adult Amateur,
000058.jpg,,"Aurora Australis, captured from Kuri Bush near Dunedin.  Charged particles from solar winds and flares enter the Earth’s magnetic field and generate an electric current. When the currents hit the Earth’s upper atmosphere they ionize the oxygen and nitrogen atoms. As the atoms return to their normal state the energy they release produces the Aurora illumination. The different colours are caused by the different gasses in the atmosphere. Taken on a Canon 7D, with a Samyang 14mm f2.8, ISO 3200, 25 sec.",Lee Adam,amateur,Adult Amateur,
000059.jpg,,"Moonrise reflected in Lake Waihola<br /> Reflections are caused when light bounces off an object. In this photograph, the illumination of the moon is bouncing off the water of the lake. The moonlight is reflected at multiple angles, creating what looks like a trail of light on the water. This is known as a diffuse reflection. Taken on a Canon 7D, with a Canon EF-S 18-55 f9, ISO 200, 6 sec.<br /> ",Lee Adam,amateur,Adult Amateur,
000060.JPG,,"All locals know that Otago weather is changeable to say the least - and here is the proof. It is sunny, cloudy and raining all at the same time! The energy from the sun heats up the water on the surface of the Earth, which then evaporates and rises until it cools and condenses - this is when the small drops of water vapour combine into bigger drops and how clouds are formed. Eventually, when enough of the water droplets have combined, they get heavy enough that the air can no longer hold them up - they then fall from the sky as rain. As the rain falls, white light (sunlight) enters the raindrops and its component colours are refracted at different angles. Thus, each raindrop acts as a tiny prism and the colour components separate (disperse) to create the beautiful rainbow pictured here.",Helen Prime,amateur,Adult Amateur,
000061.JPG,,"A nice view of Aoraki Mount Cook. Mount Cook is New Zealand's highest mountain. It is part of the Southern Alps which is New Zealand's longest mountain range. It is covered in snow and ice year round because of its altitude at 3,724 metres above sea level.",Annie Schofield,youth,Youth,
000062.JPG,,"This is the Tasman Lake near Mount Cook. It is surrounded by mountains in the Mackenzie Basin. The base of the lake is covered in a substance similar to oobleck, which is a mixture of 1 part water 2 parts cornflour.",Annie Schofield,youth,Youth,
000063.JPG,,This is one of many similar rocks found at Purakaunui Bay in the Catlins. They are formed by the water and weather eroding the rock at different rates. The line down the middle is where two rocks have 'welded' together to create one rock.,Annie Schofield,youth,Youth,
000064.JPG,,In this photo you can see most of the moon and a few brown creators at the bottom as the rest of it is white.,Anna Lloyd,youth,Youth,
000065.JPG,,In this photo you can see a winter sunset through the trees. It is the suns last burst of light for the day.,Anna Lloyd,youth,Youth,
000066.JPG,,In this photo you can see the creators and only half the moon. This is because of the position of the sun and the moon. If the sun is in line with the sun it is a full moon unlike in the photo,Anna Lloyd,youth winner,Youth,Best Moon
000067.JPG,,"Storm Watchers:<br /> Locals gather to watch a lightning storm in Byron Bay, Australia.  <br /> The lightning phenomena occurs due the build up of static electricity within clouds causing a large build up of electric potential which rapidly discharges as a lightning strike.  A storm cloud can have a potential voltage of over 100 million volts.  In ""Back to the Future"" Doc and Marty use a lighting strike to provide the ""1.21 Gigawatts"" needed to power their time machines flux capacitor.  However given that the average lightning strike peaks at around 1 Terrawatts, Doc and Marty would have had over 800 times the amount of energy required.",Alexander Woolrych,amateur winner,Adult Amateur,Most Dramatic Moment
000068.JPG,,The winter sky is cold and grey. The tree has lost its leaves because there  is not much  light  and warmth until  it is spring again. After spring it will be summer and after summer it will be autumn.  These are the seasons. The tree and the sky look different every season.,Maeve O'Brien,youth,Youth,
000069.JPG,,"This 3 minute exposure of Lake Pukaki and Mount Cook was taken with a near full moon, giving an almost daylight effect, and all the colours that would be obvious in daylight are visible. The star trails give away that it was a night-time photo, with the celestial north pole below the horizon just left of centre.",Richard Schofield,pro,Adult Professional,
000070.JPG,,"This photograph was taken at Mount John Observatory by Lake Tekapo. It shows the telescope dome with the red light inside which does not destroy night vision. An observer outside is using a portable telescope to view the stars. The photo was taken under a near full moon, hence the reflection off the dome, and the sky not being black despite this only being a half second exposure.",Richard Schofield,pro,Adult Professional,
000071.JPG,,"This image shows the International Space Station as it passed over southern New Zealand on 16th June. It is a 5 minute exposure - the ISS was visible for 3 minutes as it emerged from the earth's shadow in the south-west, and was lost to view in low cloud in the south-east. The long exposure causes the stars to appear as trails of light rotating around the celestial south pole. The dashed lines in some of the trails in the lower part of the picture are caused by cloud patches. The lights in the distance are Kaitangata (left) and Kaka Point (right), with the Clutha River in the foreground.",Richard Schofield,pro,Adult Professional,
000072.jpg,,"""It is a little cloudy. The water comes from the rain. The rain comes from the cloud. I see the cloud in the puddle. It is a water cycle, recycling"".",Katiya Brasell-Jagger,youth,Youth,
000073.jpg,,"""It is a little cloudy. The water comes from the rain. The rain comes from the cloud. I see the cloud in the puddle. It is a water cycle, recycling"".",Katiya Brasell-Jagger,youth winner,Youth,"Third Place, Kids"
000074.jpg,,"""It is a little cloudy. The water comes from the rain. The rain comes from the cloud. I see the cloud in the puddle. It is a water cycle, recycling"".",Katiya Brasell-Jagger,youth,Youth,
000075.jpg,,This photo is of a red sky it was captured at night I am entering this beacause I really like how it has the tree.,Evie Clearwater,youth,Youth,
000076.jpg,,"Storm cell: A storm cell is an air mass with convective loops of both updrafts and downdrafts, which moves as a single mass.  Convection is caused by the sun warming the Earth, which leads to the less dense warm air rising up, into the cooler air.  This movement creates powerful currents.  As the warm air rises and cools, the water vapour it contains begins to condense and form clouds.  If there is enough instability in the atmosphere, cumulonimbus clouds may develop, and may continue to develop into storm cells.  This particular storm cell brought a brief but intense hailstorm with it, while others may bring heavy rain, strong winds or thunder and lightning. ",Nicola Pye,amateur,Adult Amateur,
000077.jpg,,"Joy in snow: Climate change researchers believe that we will see a noticeable decrease in the amount of snow that falls in Otago over the next few decades, with NIWA estimating an average reduction of 40% at 1000m above sea level, and 10% at sea level.  Anecdotal evidence from senior Dunedinites seems to back up the development of this forecast, as apparently in past years, there was much more snowfall each winter than we tend to see now.  These days, every snow fall seems to be a rare treat, no matter how light!",Nicola Pye,amateur winner,Adult Amateur,"Second Place, Amateurs"
000078.jpg,,"Across the Mackenzie Basin: The Mackenzie Basin is a beautiful example of an intermontane basin, which is a wide valley situated between mountain ranges.  The Mackenzie Basin is the largest basin in New Zealand, and is bordered along its western edge by the Southern Alps, a small segment of which is seen in this photo.  It is a very sparsely populated area, and the indigenous tussock groundcover has long since been destroyed, firstly by fires lit by Maori and European settlers, and more recently by farming, and introduced pests.  Although it now looks very barren, it is actually home to 68 nationally rare and threatened plants and eight threatened bird species.  This photo was taken from Mt John, above Lake Tekapo, home of the Aoraki Mackenzie Dark Sky Reserve.",Nicola Pye,amateur,Adult Amateur,
000079.JPG,,This picture was taken in the afternoon.I laid down on the grass and took it. Its cool because the sun is reflecting on the grass and making it bright and shiny.,Chloe Henderson,youth,Youth,
000080.JPG,,This picture was taken in the morning.I like it because the sky is all different colours.This picture has cool trees and in it so it makes it look cool,Chloe Henderson,youth,Youth,
000081.JPG,,This picture was taken when it was frosty.I laid on the grass and took it. Its cool how the sun is in the background.,Chloe Henderson,youth,Youth,
000082.jpeg,,I took this photograph in Fiji before dinner and the sky was so blue. I really like the setting in this photograph.,Sophie Stade,youth,Youth,
000083.jpeg,,I took this one in Fiji after the sunset when I was having tea at the meal place and all the torches were lit.,Sophie Stade,youth,Youth,
000084.jpeg,,The sun was really really REALLY bright so I took lots of photos of the sun from different angles.The sun was really bright.,Sophie Stade,youth,Youth,
000085.jpeg,,So maybe I did take alotnof pictures of the sun.But I edited them in different ways to not only make it different but interesting.,Sophie Stade,youth,Youth,
000086.jpeg,,I was basically just wandering around and saw dangling leafs so I ducked under the trees and took a picture.,Sophie Stade,youth,Youth,
000087.jpeg,,I took this in the morning after the sun came out and the fog cleared so I took this awesome picture.,Sophie Stade,youth,Youth,
000088.jpeg,,Another one I took after the sun came out and I thought it looked cool from different angles and different trees.,Sophie Stade,youth,Youth,
000089.jpeg,,I did take a few of these from different angles but I always edit my photos in different ways with effects.,Sophie Stade,youth,Youth,
000090.jpeg,,Taken by:iPad. I took this a day before we knew about this competition so I thought I'd enter it. I took this at my school with all the leafs around a tree with a stone under it.,Sophie Stade,youth,Youth,
000091.jpeg,,This was the first photo I took for the competition. Taken by: iPad. This is basically just a leaf bush with water drops on it.<br /> ,Sophie Stade,youth,Youth,
000092.jpeg,,This is sort of the same to another I took. The leafs are sort of damp but it still made a really cool picture.,Sophie Stade,youth,Youth,
000093.jpg,,it is a wonderful pic of the sky which i took at home so i could send it in t relates to the earth because it is the sky and clouds.<br /> i think it is cool,Joel Peters,youth,Youth,
000094.PNG,,the sea is part of the water cycle wich is part of weather the trees are oxygen and the sunrise looks cool and is a bit of our heat,Jamie Hill,youth,Youth,
000095.jpeg,,This is a photo of a Otago tree with it's golden leaves.<br /> When the sun comes up it shines on the trees and makes them golden.,Nika Casbolt and Zoe ward,youth,Youth,
000096.jpg,,This photo shows its coming into spring and it relates to earth and the seasons. It was Taken in the morning ,Sophie Wilson and Billie Grant ,youth,Youth,
000097.jpg,,This is a photo of a beuatyful sunset.The science behind a sunset is that the sun makes the sky blue by reflect the warter making the sky appear blue so when the sun sets the sky goes black because there is nothing to reflect on.,Zoe ward and Nika casbolt ,youth,Youth,
000098.jpeg,,A winter flower in blossom with a bright background. I choose this photo because it shows the blossom on the flowers.,Evie Clearwater,youth,Youth,
000099.jpeg,,This is a photo of the beautiful schist rock which happens to be found in Alexandra NZ. A schist is a metamorphic rock made out of shale and mudstone.,Nika Casbolt and Zoe ward,youth,Youth,
